"id_station","lat","lon"
"10123004","-39.8561","-73.1786"
"10304002","-40.2172","-72.1492"
"10307001","-40.3172","-72.4692"
"10360002","-40.5883","-73.1069"
"10410005","-41.2269","-72.5681"
"10425001","-41.46","-72.9378"
"10417001","-41.6153","-73.6"
"11041001","-43.9708","-72.4056"
"11120001","-44.3228","-72.5597"
"11140001","-44.4975","-71.3064"
"11144002","-44.6653","-72.2661"
"11147003","-44.7278","-72.6814"
"11304001","-45.1733","-72.1478"
"11307002","-45.3719","-71.9822"
"11318002","-45.4036","-72.4878"
"11400001","-45.4644","-72.8178"
"11316003","-45.5739","-72.0286"
"12283001","-50.8986","-72.3314"
"12286001","-51.1842","-72.9669"
"12284010","-51.26","-72.3272"
"12400001","-51.6975","-72.3297"
"12293001","-51.7336","-72.4781"
"12640001","-52.0342","-70.7333"
"12622002","-52.4414","-71.4022"
"12802002","-52.7764","-69.2928"
"12806004","-52.8697","-69.9319"
"12449001","-52.8819","-71.5706"
"12586004","-53.1233","-70.8772"
"12586005","-53.1444","-70.9831"
"12809001","-53.2908","-70.37"
"12815001","-53.3056","-69.2675"
"180005","-18.3514","-70.3358"
"200006","-20.5397","-70.1786"
"230001","-23.4503","-70.4411"
"270008","-27.2639","-70.7742"
"290004","-29.9175","-71.2011"
"330020","-33.445","-70.6828"
"340031","-34.9664","-71.2167"
"360011","-36.5872","-72.04"
"360019","-36.7792","-73.0622"
"380013","-38.77","-72.6369"
"390006","-39.6506","-73.0808"
"400009","-40.605","-73.0608"
"410005","-41.435","-73.0978"
"450001","-45.3961","-72.6639"
"450004","-45.5939","-72.1086"
"450005","-45.9128","-71.6942"
"460001","-46.5808","-71.6928"
"470001","-47.2439","-72.5864"
"520006","-53.0033","-70.845"
"550001","-54.9317","-67.6156"
"950001","-62.1997","-58.9642"
"220002","-22.4989","-68.9072"
"270001","-27.1606","-109.427"
"330021","-33.3919","-70.7944"
"330019","-33.4544","-70.5478"
"330031","-33.6367","-78.835"
"330030","-33.655","-71.6142"
"420004","-42.9303","-72.7008"
"430002","-43.1889","-71.8525"
"430004","-43.6117","-71.8053"
"530005","-53.1875","-70.3203"
"CO000080001","12.583","-81.717"
"VE000080438","8.6","-71.183"
"NSM00081225","5.453","-55.188"
"FG000081405","4.833","-52.367"
"CO000080222","4.701","-74.15"
"CO000080259","3.55","-76.383"
"PE000084377","-3.783","-73.3"
"PEM00084515","-8.378","-74.574"
"BR038983570","-9.517","-35.783"
"PEM00084686","-13.536","-71.939"
"BLM00085201","-16.513","-68.192"
"BL000085223","-17.42","-66.18"
"PA000086068","-22.017","-60.6"
"PA000086134","-23.43","-57.417"
"BR00E3-0520","-23.617","-46.65"
"PA000086248","-25.533","-54.6"
"BR002554002","-25.733","-54.467"
"PA000086297","-27.3","-55.9"
"ARM00087178","-27.386","-55.971"
"AR000087155","-27.45","-59.05"
"UY000086315","-30.267","-57.583"
"AR000000011","-30.267","-57.65"
"UY000086330","-30.4","-56.52"
"AR000087344","-31.317","-64.217"
"UY000086360","-31.433","-57.967"
"UY000001709","-32.35","-54.183"
"UY000001915","-32.8","-56.517"
"UYM00086500","-33.217","-54.383"
"UYM00086560","-34.456","-57.771"
"UY000086565","-34.483","-54.3"
"ARM00087576","-34.822","-58.536"
"UYM00086580","-34.838","-56.031"
"NZM00093781","-43.489","172.532"
"ASN00094010","-43.4892","147.145"
"ASN00094041","-43.6578","146.271"
"AR000087860","-45.783","-67.5"
"NZ000093844","-46.417","168.333"
"FSM00061997","-46.433","51.85"
"SF000068994","-46.883","37.867"
"FRM00061998","-49.35","70.25"
"AR000087925","-51.617","-69.283"
"ASM00094998","-54.499","158.937"
"AYM00088968","-60.733","-44.733"
